City,Country,Cloudiness,Humidity,Latitude,Longitude,Temperature,Speed
ishigaki,JP,75,65,24.34,124.16,77,8.05
talnakh,RU,0,0,69.49,88.4,-46.72,2.06
havre-saint-pierre,CA,90,100,50.23,-63.6,33.8,8.05
kindu,CD,24,88,-2.95,25.95,75.14,2.95
kabansk,RU,0,70,52.05,106.65,-5.81,3.4
kudahuvadhoo,MV,0,100,2.67,72.89,80.63,9.66
hope,US,0,68,33.67,-93.59,32.35,4.97
lolua,FI,0,77,60.17,24.94,-0.41,11.41
vila franca do campo,PT,20,82,37.72,-25.43,60.8,5.82
annau,TM,24,69,37.89,58.52,39.2,2.24
aybak,AF,40,93,36.7,67.7,37.4,3.36
santa cruz,PH,75,78,14.28,121.42,82.4,5.82
tucurui,BR,88,96,-3.77,-49.67,73.66,2.17
listowel,IE,75,87,52.45,-9.48,42.8,8.05
elliot,ZA,80,91,-31.33,27.85,59.8,4.18
brownsville,US,90,76,25.9,-97.5,64.4,3.36
nantucket,US,1,44,41.28,-70.1,41,21.92
lvov,UA,75,86,49.84,24.02,28.4,17.9
pochutla,MX,90,60,15.73,-96.47,73.4,5.53
port blair,IN,92,100,11.67,92.75,78.97,18.72
tyumentsevo,RU,80,97,53.32,81.5,30.1,11.68
kamenskoye,UA,90,97,48.51,34.6,32,6.71
eydhafushi,MV,0,100,5.1,73.07,79.96,3.96
belmonte,BR,40,94,-15.86,-38.88,73.4,2.24
port hawkesbury,CA,90,100,45.62,-61.35,37.4,5.82
castrillon,ES,90,93,43.4,-6.79,50,3.36
milkovo,RU,75,92,55.61,37.8,19.4,8.95
santa maria,BR,12,91,-29.68,-53.81,74.29,7.99
mahanoro,MG,100,91,-19.9,48.8,73.43,2.84
susehri,TR,20,71,40.16,38.09,18.53,3.74
sao miguel do araguaia,BR,8,94,-13.28,-50.16,71.63,3.06
bilma,NE,0,82,18.69,12.92,43.73,2.84
alamor,EC,100,100,-4.12,-79.95,62.81,1.16
lagoa,PT,92,100,39.05,-27.98,59.84,7.2
nemuro,JP,75,73,43.32,145.57,21.2,6.93
jinchang,CN,0,55,38.5,102.17,27.71,4.63
lupiro,TZ,48,78,-8.38,36.67,78.34,3.29
elbistan,TR,88,87,38.21,37.2,17.63,2.62
savonlinna,FI,75,77,61.87,28.92,-2.21,5.82
lidorikion,GR,92,100,38.5,22.25,46.3,7.65
louisbourg,DE,75,87,48.9,9.19,32,12.75
yeppoon,AU,90,74,-23.13,150.73,78.8,17.22
pacajus,BR,40,83,-4.17,-38.46,80.6,13.87
umm durman,SA,0,80,31.33,37.34,33.8,2.24
aklavik,CA,5,78,68.22,-135.01,14,10.29
tongliao,CN,0,48,43.61,122.27,25.96,5.41
abha,SA,0,71,18.22,42.51,55.4,2.73
zhumadian,CN,92,100,32.98,114.03,43.91,13.13
kirovskiy,RU,0,66,45.09,133.51,8.32,3.06
prince albert,CA,90,70,53.2,-105.77,-0.41,5.82
knysna,ZA,0,88,-34.04,23.05,68,5.82
grand forks,US,75,75,47.93,-97.03,-14.81,7.09
vyartsilya,RU,0,75,62.18,30.69,-3.12,11.34
saint-jerome,CA,75,79,45.78,-74,24.8,14.99
templin,DE,40,86,53.12,13.5,28.4,9.17
cheuskiny,RU,24,65,61.1,72.6,-38.21,6.71
buala,SB,48,97,-8.14,159.59,82.48,1.5
borovskoy,KZ,36,91,53.8,64.15,16.73,7.43
hobyo,SO,8,75,5.35,48.53,78.38,16.26
sao felix do xingu,BR,36,100,-6.64,-51.99,71.18,2.06
cumra,TR,40,92,37.57,32.77,6.8,2.24
novobiryusinskiy,RU,76,76,56.96,97.71,31.94,11.56
yulara,AU,0,18,-25.24,130.99,100.4,11.41
shakawe,BW,92,100,-18.37,21.85,66.1,4.74
oran,DZ,0,93,35.69,-0.64,41,5.82
lukovetskiy,RU,40,58,64.3,41.92,-38.21,5.19
bengkulu,ID,68,100,-3.8,102.27,79.6,9.89
mataram,ID,40,66,-8.58,116.12,89.6,10.29
sangar,RU,20,35,63.92,127.47,-24.04,6.64
oxford,GB,0,86,51.75,-1.26,32,2.24
nanakuli,US,75,82,21.39,-158.15,71.6,13.91
taylor,US,90,67,42.24,-83.27,19.4,11.41
saurimo,AO,64,93,-9.66,20.39,70.06,3.74
erenhot,CN,0,53,43.65,111.98,33.16,4.97
puerto baquerizo moreno,EC,20,98,-0.9,-89.6,74.74,5.3
karaton,ID,40,70,-6.32,106.1,87.8,5.82
champerico,GT,0,100,14.3,-91.92,71.09,2.95
luena,AO,48,91,-11.78,19.92,66.91,5.97
fria,GN,0,81,10.45,-13.53,65.06,1.61
buchanan,LR,20,94,5.88,-10.05,73.4,4.63
ust-ishim,RU,64,71,57.69,71.17,1.39,4.63
calcutta,US,90,62,40.67,-80.58,21.2,12.75
andros town,BS,0,96,24.7,-77.77,70.19,6.42
hovd,MN,0,37,48.01,91.64,18.13,4.52
farafangana,MG,92,100,-22.82,47.83,78.29,10.78
santiago,CL,0,37,-33.46,-70.65,68,11.41
kabare,CD,56,100,-2.47,28.82,66.23,3.29
cabatuan,PH,68,86,10.88,122.49,80.36,11.34
verkhniye sergi,RU,56,74,56.65,59.56,7.28,2.73
kuandian,CN,0,59,40.73,124.78,32.66,3.4
pacific grove,US,90,93,36.62,-121.92,57.2,3.96
taoudenni,ML,0,60,22.68,-3.98,35.99,5.19
rio gallegos,AR,75,70,-51.62,-69.22,44.6,10.29
oshikango,NA,0,53,-17.4,15.88,69.34,10.45
porbandar,IN,0,67,21.64,69.61,74.47,7.76
aruppukkottai,IN,20,54,9.52,78.1,82.4,5.82
malwan,IN,0,98,16.07,73.47,80.32,6.08
konstantinovka,RU,8,75,49.62,127.98,8.09,7.43
juegang,CN,92,97,32.32,121.19,47.83,16.26
gizo,SB,0,100,-8.1,156.84,84.91,8.21
bargal,IN,0,60,22.57,88.37,71.6,6.93
angoram,PG,90,83,-4.06,144.07,80.6,1.95
skalistyy,RU,20,75,54.1,61.58,7.6,2.84
birjand,IR,20,40,32.87,59.22,33.8,4.7
aguimes,ES,0,51,27.91,-15.45,60.8,3.36
petropavlovsk-kamchatskiy,RU,90,79,53.05,158.65,26.6,22.37
birsk,RU,24,74,55.42,55.54,5.66,3.62
dzaoudzi,YT,40,70,-12.79,45.27,84.2,5.82
melton,AU,0,35,-37.68,144.58,89.6,18.34
klaksvik,FO,64,69,62.23,-6.59,39.2,16.11
northam,GB,0,100,51.03,-4.22,28.21,5.75
crab hill,KN,76,100,17.38,-62.85,79.51,15.03
alekseyevsk,RU,90,92,53,33.5,28.4,6.71
rumoi,JP,48,87,43.93,141.64,23.39,8.1
shebunino,RU,36,100,46.43,141.86,24.07,17.72
prabumulih,ID,48,92,-3.45,104.25,81.76,4.52
karpogory,RU,44,64,64,44.45,-21.84,3.96
strelka,RU,88,82,58.07,93.03,29.29,9.55
turan,VN,75,83,16.07,108.22,78.8,3.36
chiredzi,ZW,56,84,-21.05,31.67,74.56,9.22
torbat-e jam,IR,0,74,35.24,60.62,37.3,3.85
khormuj,IR,0,58,28.75,51.5,59,16.11
uncia,BO,64,97,-18.42,-66.63,40.63,2.62
morehead,US,1,74,37.27,-87.18,28.4,2.95
manuel doblado,MX,5,50,20.73,-101.95,57.2,8.05
sabancuy,MX,0,99,18.97,-91.18,78.16,7.65
lampazos de naranjo,MX,12,88,27.02,-100.52,43.01,3.18
pokrovsk,RU,8,59,61.48,129.13,-12.57,6.76
mrirt,MA,0,68,33.15,-5.83,26.09,2.51
wailuku,US,20,73,20.89,-156.5,73.4,6.93
brignoles,FR,0,45,43.4,6.07,42.8,9.17
beloha,MG,8,82,-25.17,45.05,82.75,6.87
debre tabor,ET,0,26,11.85,38.02,59.17,5.75
